path,source_file,kalimat,product,quantity,tipe,speaker,intent,path_abs,feat_path,duration,n_frames,split,id,feature_path,frames
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_001.mp3,synt_001.wav,catat 1 gula,gula,1.0,synt,tts_google,add_item,,,1.44,,,0,data\features\0.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_002.mp3,synt_002.wav,catat 5 telur,telur,5.0,synt,tts_google,add_item,,,1.44,,,1,data\features\1.npy,91
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_003.mp3,synt_003.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.472,,,2,data\features\2.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_004.mp3,synt_004.wav,catat 1 mie,mie,1.0,synt,tts_google,add_item,,,1.312,,,3,data\features\3.npy,83
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_005.mp3,synt_005.wav,catat 1 teh,teh,1.0,synt,tts_google,add_item,,,1.408,,,4,data\features\4.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_006.mp3,synt_006.wav,catat 5 gula,gula,5.0,synt,tts_google,add_item,,,1.408,,,5,data\features\5.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_007.mp3,synt_007.wav,catat 3 sabun,sabun,3.0,synt,tts_google,add_item,,,1.6,,,6,data\features\6.npy,101
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_008.mp3,synt_008.wav,catat 3 beras,beras,3.0,synt,tts_google,add_item,,,1.472,,,7,data\features\7.npy,93
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_009.mp3,synt_009.wav,catat 4 teh,teh,4.0,synt,tts_google,add_item,,,1.408,,,8,data\features\8.npy,89
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_010.mp3,synt_010.wav,catat 2 mie,mie,2.0,synt,tts_google,add_item,,,1.248,,,9,data\features\9.npy,79
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_011.mp3,synt_011.wav,catat 3 air mineral,air mineral,3.0,synt,tts_google,add_item,,,1.952,,,10,data\features\10.npy,123
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_012.mp3,synt_012.wav,catat 5 air mineral,air mineral,5.0,synt,tts_google,add_item,,,1.952,,,11,data\features\11.npy,123
M:/ITERA/Semester 7/Deep Learning/Tubes/TTS Google/synt_013.mp3,synt_013.wav,catat 5 telur,telur,5.0,synt,tts_google,add_item,,,1.44,,,12,data\features\12.npy,91
